Timestamp,A1. What is your primary role in the FOSS community?,A2. How long have you participated in FOSS communities?,A3. How frequently do you use GenAI tools for FOSS-related activities?,A4. Which GenAI tools do you use? (Select all that apply.),A5. For which FOSS activities do you use GenAI? (Select all that apply.),B1. GenAI improves communication between core and peripheral contributors.,B2. GenAI makes it easier for peripheral contributors to communicate with core contributors.,B3. GenAI facilitates collaboration between core and peripheral contributors.,B4. GenAI helps peripheral contributors understand technical discussions involving core contributors.,B5. GenAI reduces communication barriers between contributors with different levels of technical expertise.,B6. GenAI increases the frequency of collaboration between core and peripheral contributors.,B7. GenAI enables peripheral contributors to contribute more effectively to collaborative tasks.,B8. GenAI improves the quality and clarity of interactions within FOSS communities.,C1. GenAI makes it easier for new and peripheral contributors to participate in FOSS projects.,C2. GenAI increases the frequency with which peripheral contributors make project contributions.,C3. GenAI increases the confidence of peripheral contributors to participate in project activities.,C4. GenAI reduces technical barriers that prevent peripheral contributors from contributing.,C5. GenAI helps peripheral contributors contribute to more complex project tasks.,C6. GenAI accelerates the learning process of peripheral contributors.,C7. GenAI increases opportunities for peripheral contributors to take on greater responsibilities.,C8. GenAI facilitates progression of peripheral contributors toward regular or core contributor roles.,C9. GenAI enables contributors with limited prior experience to become more active members of FOSS communities.,D1. GenAI makes FOSS communities more inclusive of contributors with different levels of technical expertise.,D2. GenAI creates greater opportunities for peripheral contributors to participate in community activities.,D3. GenAI reduces barriers to participation for less-experienced contributors.,D4. GenAI strengthens connections between core and peripheral contributors.,D5. GenAI increases interaction among contributors across different community roles.,D6. GenAI helps peripheral contributors establish stronger relationships within FOSS communities.,D7. GenAI reduces the social and technical distance between core and peripheral contributors.,D8. GenAI enables a wider range of contributors to participate in community discussions and decision-making.,D9. GenAI contributes to a more connected FOSS community structure.,E1. GenAI is changing the traditional distinction between core and peripheral contributors in FOSS communities.,E2. GenAI enables peripheral contributors to perform activities previously dominated by core contributors.,E3. GenAI is reducing the gap between core and peripheral contributors.,E4. GenAI is creating new pathways for peripheral contributors to move toward core roles.,E5. GenAI is making contributor roles within FOSS communities more fluid.,E6. GenAI is changing the distribution of knowledge and expertise between core and peripheral contributors.,E7. GenAI is creating new forms of contributor participation that are not fully represented by traditional Core–Periphery structures.,E8. GenAI is influencing the structure and relationships represented by the Onion model of FOSS communities.,E9. Existing Core–Periphery and Onion models need to be revised to account for GenAI-supported contribution.,E10. A revised FOSS community structure should explicitly recognize GenAI-supported contributors.,E11. GenAI-supported contribution should be incorporated into future models of FOSS community structure.,E12. GenAI has the potential to create a more connected and less rigid FOSS community structure.,"F1. In your experience, how has GenAI changed communication and collaboration between core and peripheral contributors?",F2. How has GenAI affected the participation and progression of peripheral contributors in your FOSS community?,F3. In what ways has GenAI made your FOSS community more or less inclusive and connected?,F4. How do you think the traditional Core–Periphery and Onion models should be revised to reflect the impact of GenAI?,"F5. What new contributor role, layer, or relationship do you think should be represented in a GenAI-informed FOSS community model?"
24/08/2026 04:23:09,User/support contributor,Less than 1 year,Often,"ChatGPT, GitHub Copilot, Google Gemini, Claude, Microsoft Copilot, Other: __________","Code debugging, Code review, Problem solving, Learning/onboarding, Issue resolution, Testing/quality assurance, Decision support",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,By allowing users to communicate easily in different situations they face and become easily solved,"GenAI can help newcomers understand unfamiliar codebases, documentation, contribution guidelines, and tooling. It can make tasks such as writing tests, fixing simple bugs, or preparing pull requests less intimidating.","New contributors can use GenAI to translate technical language, understand unfamiliar code, learn project conventions, and overcome gaps in programming experience. This lowers the knowledge barrier that can otherwise discourage participation.","The traditional model assumes that contributors move from a peripheral position toward a human core through increasing knowledge, trust, and participation. With GenAI, someone on the periphery can suddenly perform tasks that previously required considerable expertise.","This would represent contributors who use GenAI substantially to learn, write code, debug, document, translate, or navigate the project, but who remain responsible for understanding and validating their contributions."
24/08/2026 04:35:35,Regular contributor/developer,1–2 years,Very often,"ChatGPT, GitHub Copilot, Google Gemini, Claude, Microsoft Copilot","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Issue resolution, Communication, Testing/quality assurance, Decision support",4,4,3,5,4,3,4,4,4,3,4,3,4,4,2,4,4,4,5,5,4,4,4,4,4,5,4,3,4,3,4,4,4,4,5,5,5,4,It helps to make interruction with other complex machine languages,By helping to solve community problems,,,
31/08/2026 14:10:23,Peripheral/new contributor,Less than 1 year,Sometimes,Google Gemini,Learning/onboarding,2,3,3,3,5,3,4,2,5,1,1,3,5,5,4,3,5,4,2,5,1,3,2,5,4,5,1,2,3,5,2,1,3,4,1,5,5,2,Learning ,Studying ,Yes ,Right ,Will be approved 
31/08/2026 14:18:38,Regular contributor/developer,1–2 years,Often,Claude,"Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Issue resolution",3,3,3,4,3,3,3,4,5,4,4,3,5,3,3,3,4,3,3,3,3,3,3,4,4,5,3,4,3,4,3,4,4,4,3,3,4,3,"GenAI has lowered language barriers and simplified technical jargon, making it easier for peripheral contributors to communicate with core maintainers. However, it has also led to an influx of automated comments and lower-quality code suggestions. This increase in volume creates a higher review burden for core maintainers, sometimes straining the overall collaboration efficiency.","GenAI has accelerated the onboarding process by helping peripheral contributors understand the codebase and submit their first pull requests much faster. Conversely, a heavy reliance on AI tools can hinder deep learning and technical growth. This often delays the progression of casual contributors into core maintainers, as they may struggle to grasp complex architectural decisions independently","On one hand, GenAI has made the community more inclusive by welcoming non-native English speakers and novice developers who previously faced high entry barriers. On the other hand, it has made the community feel less socially connected. Human-to-human mentorship is increasingly replaced by AI interactions, and maintainers are becoming more skeptical of automated contributions, which erodes organic community trust.","The traditional models must be revised to introduce a dynamic ""AI-Augmented"" layer that blurs the strict boundaries between peripheral and core contributors. Additionally, the definition of the Core layer needs to shift. Instead of evaluating core maintainers primarily as code authors, the model should reflect their evolving roles as code verifiers, architects, and gatekeepers who manage AI-generated noise","A GenAI-informed model should feature an 'AI-Augmented' layer that acts as a fluid interface between core and peripheral contributors, acknowledging the high volume of AI-assisted inputs. Within this framework, the role of core maintainers must officially transition from primary code authors to architectural gatekeepers and code verifiers who manage AI-generated noise. Furthermore, the relationship should account for 'AI Co-pilots' as distinct entities or tools that accelerate peripheral contributions, requiring new automated filtering mechanisms to maintain overall code quality without burning out human reviewers"
31/08/2026 14:24:32,Peripheral/new contributor,Less than 1 year,Sometimes,ChatGPT,"Code generation, Code debugging, Documentation, Problem solving, Learning/onboarding",4,5,4,5,5,3,5,5,5,4,5,4,5,5,5,5,4,4,5,4,5,4,5,4,3,4,4,5,4,5,4,5,4,5,4,5,4,5,Has made communication faster and clearer,GenAI has lowered the barrier to entry ,It has made the community more inclusive ,"The mode should add a""GenAI-assisted "" layer between core and periphery ","A new role  ""AI-enabled contributor"" ."
31/08/2026 14:26:14,Core developer/maintainer,3–4 years,Very often,"ChatGPT, Google Gemini, Claude","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Issue resolution, Communication, Testing/quality assurance, Decision support, Other: __________",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"GenAI has improved communication by making it easier to share ideas, get support, and collaborate between core and peripheral contributors.","GenAI helps peripheral contributors learn faster, solve problems, and participate more actively in FOSS projects.",GenAI has made FOSS communities more inclusive by reducing knowledge barriers and helping new contributors connect with others.,The Core–Periphery and Onion models should include GenAI as a tool that allows more people to contribute and reduces the gap between core and peripheral members.,". A new role of AI-assisted contributor should be added, where members use GenAI tools to learn, create, review, and support FOSS development."
31/08/2026 14:35:30,Regular contributor/developer,Less than 1 year,Very often,"ChatGPT, GitHub Copilot, Google Gemini, Claude","Code generation, Code debugging, Code review, Problem solving, Learning/onboarding, Testing/quality assurance, Decision support",5,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,actually by increase suitable environment to learn and improve what they have about GenAI,mostly not involves deep learning on the use of AI to improve FOSS community,"code learning,reviews,testing,assistant to share ideas and so forth","Trust verification via automated test suites, provenance tracking, and rule validation.","Prompt & Context Engineers (Architectural Translators),
Maintain the project’s AI operational files (e.g  RAG knowledge graphs, prompt templates, and custom linters)."
31/08/2026 14:39:47,Peripheral/new contributor,Less than 1 year,Sometimes,"ChatGPT, Google Gemini, Claude","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Testing/quality assurance, Other: __________",4,4,3,3,4,5,1,5,5,3,3,3,4,1,5,3,3,3,3,4,3,3,5,5,5,5,5,3,3,5,2,5,5,3,5,5,3,3,,,,,
31/08/2026 14:46:52,Core developer/maintainer,1–2 years,Sometimes,ChatGPT,"Code generation, Code debugging, Documentation, Problem solving, Decision support",4,4,5,5,5,5,4,4,3,4,4,5,5,5,4,4,5,4,3,4,5,4,5,5,5,5,3,5,5,5,5,4,5,5,4,5,5,5,It change communication from the complicated one to simpler one,It allow general.participation among them,By allowing free communication and participation,By providing an education about positive impacts of GenAI,"Their role is to have focus on their project means inverst knowledge, time, money and other resourses"
31/08/2026 15:17:24,Project manager/community manager,Less than 1 year,Sometimes,ChatGPT,Problem solving,4,4,4,4,4,4,3,3,3,3,3,4,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,Neutral perception ,Neutral perception,Neutral perception,Neutral perception,Neutral perception
31/08/2026 15:43:32,Peripheral/new contributor,Less than 1 year,Very often,"Google Gemini, Claude","Code generation, Problem solving, Communication, Testing/quality assurance",5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,"GenAI its change many things such as seep, quality and accurace",GenAI its simplify compelx things,Its make me to be laen more things,Its was slowry,Its should answer as a man
31/08/2026 18:14:07,Core developer/maintainer,1–2 years,Rarely,ChatGPT,Learning/onboarding,5,5,4,5,4,4,4,5,5,4,5,5,4,5,4,4,5,5,4,4,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,,By simply different activities and helps in problems solving ,Through solving various problems facing communities ,Should bases mostly on community day to day activities ,Strongly Automation
01/09/2026 14:12:47,Tester/QA,Less than 1 year,Sometimes,"ChatGPT, Google Gemini, Claude","Code generation, Code debugging, Documentation, Problem solving, Decision support",3,3,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,4,,,,,
01/09/2026 14:37:51,Core developer/maintainer,1–2 years,Sometimes,"ChatGPT, Microsoft Copilot, Other: __________","Code generation, Code debugging, Code review, Documentation, Problem solving, Learning/onboarding, Issue resolution, Communication, Testing/quality assurance, Decision support, Other: __________",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,Greatly in positive ways ,Have maxmized the social participation and inclusion,Bringing people together ,Reducing traditional barrruers,Solving technical problems 
01/09/2026 14:38:08,User/support contributor,1–2 years,Sometimes,"ChatGPT, Google Gemini, Microsoft Copilot, Other: __________","Code generation, Code debugging, Code review, Learning/onboarding, Communication, Other: __________",5,5,5,4,3,3,3,5,3,3,3,4,4,4,3,3,3,3,3,3,4,5,5,5,3,3,3,3,5,5,5,3,3,3,3,3,3,3,"GenAI has improved the communication systems and collaboration between the periferal contributors and the core, where information can be shared quickly and a efficiently regardless of the distance or forbidden between.","Has increased the efficiency of communication,also saves time in problem solving, hence efficient work performance.","Through improved connectivity among GenAI tools has increased communication in my FOSS community, hence it is more inclusive.",The onion model should be distributed so as to attain uniform interoperability among  FOSS communities ,Nothing rather than consistent use and improvement of GenAI tools.
01/09/2026 15:12:44,Core developer/maintainer,Less than 1 year,Rarely,ChatGPT,Learning/onboarding,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
01/09/2026 15:14:35,User/support contributor,Less than 1 year,Sometimes,ChatGPT,"Code debugging, Learning/onboarding",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"“GenAI has made communication and collaboration easier by helping contributors understand technical information, write documentation, generate code, and solve problems more quickly.”","“GenAI has made FOSS development faster and easier by helping with coding, debugging, documentation, learning, and collaboration""","“GenAI has made the FOSS community more inclusive and connected by helping new contributors understand technical concepts, overcome language barriers, and communicate more easily with experienced contributors.”","“The models should include AI-assisted contributors as a new layer, since GenAI can help peripheral contributors participate more easily, reduce barriers to contribution, and improve communication with core contributors.”","“AI-assisted contributor should be represented as a new role, where contributors use GenAI to support coding, documentation, debugging, and communication while still being responsible for reviewing and validating the AI-generated work.”"
01/09/2026 16:05:29,User/support contributor,Less than 1 year,Very often,"ChatGPT, GitHub Copilot, Google Gemini, Claude, Microsoft Copilot","Code generation, Problem solving, Communication, Decision support",5,5,4,4,5,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,3,4,5,4,4,,,,,
01/09/2026 16:10:29,Regular contributor/developer,1–2 years,Very often,"ChatGPT, Claude","Code generation, Code debugging, Code review, Documentation",5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,,,,,
01/09/2026 17:15:42,Regular contributor/developer,Less than 1 year,Often,Claude,Code debugging,2,4,3,5,4,2,3,4,2,4,3,5,2,5,3,3,3,3,3,3,4,4,5,5,5,3,1,5,3,3,4,3,4,4,3,3,4,4,,,,,
01/09/2026 18:34:34,Regular contributor/developer,1–2 years,Often,ChatGPT,Documentation,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Simply the problem solving ,By providing the necessary information ,More,Improvement of it ,How to benefit from it
01/09/2026 20:51:45,Documentation contributor,Less than 1 year,Sometimes,ChatGPT,Learning/onboarding,5,4,4,4,4,4,4,4,4,4,2,4,3,3,3,3,3,4,4,4,3,2,3,4,2,2,1,1,1,1,1,1,1,1,2,2,2,2,little,little ,inclusive,by improving GenAI models ,learning 
02/09/2026 08:14:02,Core developer/maintainer,3–4 years,Very often,"ChatGPT, GitHub Copilot, Claude","Code generation, Code debugging, Code review, Documentation, Problem solving",5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,GenAI has made communication and collaboration easier and faster. It helps peripheral contributors understand technical discussions and communicate with core contributors more confidently.,"GenAI has helped peripheral contributors learn new skills, solve problems, and contribute more easily, even when they have limited experience.","I think GenAI has made the community more inclusive by reducing technical and language barriers. However, people who are less familiar with AI may still feel left behind.",The models should recognize that GenAI makes it easier for contributors to move between the core and peripheral levels as they gain skills and experience.,"I think there should be an AI-assisted contributor layer, representing people who use GenAI to learn, develop code, document projects, and participate in the community."
02/09/2026 10:56:29,Regular contributor/developer,1–2 years,Rarely,"ChatGPT, GitHub Copilot, Claude","Code generation, Code debugging, Problem solving, Decision support",5,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,Saves time when coding,"It has reduced the working service time

",,,
02/09/2026 11:48:33,Project manager/community manager,1–2 years,Very often,"GitHub Copilot, Google Gemini, Claude","Code generation, Code debugging, Code review, Learning/onboarding, Testing/quality assurance",5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,,,,,
02/09/2026 12:25:46,Regular contributor/developer,Less than 1 year,Sometimes,ChatGPT,Code debugging,1,2,2,1,4,4,1,2,2,1,5,2,3,2,5,3,2,1,2,1,5,3,3,3,4,4,2,5,2,1,3,4,4,5,5,3,1,2,Improved efficiency ,Disappointed realistic,Incredibly supportive in making decisions ,M,Tech company 
02/09/2026 14:12:44,Core developer/maintainer,1–2 years,Very often,Google Gemini,"Code generation, Code debugging, Problem solving, Decision support",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,It simplifies communication ,No any affection ,No any exclusive  we are all connected ,No ,Any 
10/09/2026 19:00:23,User/support contributor,Less than 1 year,Rarely,ChatGPT,"Problem solving, Learning/onboarding, Issue resolution",5,4,5,5,5,4,4,4,5,5,4,4,3,5,5,4,5,4,3,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,2,2,2,2,Through more practical use of GenAi in FOSS communities,Having much audacity and consistent use of GenAI in every project than the core contributors,Searching and giving response 100% accurate,Provide Real world responses,Fake currency detection
